"Gene ID","Product Description","Log2 FC MF/PF","-Log10(P-Value)","significance","Log2 FC PF/MF","FC MF/PF","P value FC MF/PF"
"Tb04.24M18.150","hypothetical protein, conserved",-0.237702792773806,1.43533393574791,"Not Significant",0.237702792773806,0.848094661220599,0.0367
"Tb04.3I12.100","hypothetical protein",1.85680364062336,3.71896663275227,"Up in MF",-1.85680364062336,3.62204291693494,0.000191
"Tb05.30F7.410","hypothetical protein",-0.925491542342096,0.636388020107856,"Not Significant",0.925491542342096,0.526501102598301,0.231
"Tb06.3A7.270","hypothetical protein, conserved",0.146080702213794,0.97469413473523,"Not Significant",-0.146080702213794,1.1065592506389,0.106
"Tb06.3A7.960","hypothetical protein",2.20589468253085,5.12378215940836,"Up in MF",-2.20589468253085,4.61360561239875,7.52e-06
"Tb11.01.2730","hypothetical protein, conserved",1.06721694334641,4.32790214206428,"Up in MF",-1.06721694334641,2.0953873215894,4.7e-05
"Tb11.01.6240","expression site-associated gene 2 (ESAG2) protein, putative",8.88615973596749,4.29499204066666,"Up in MF",-8.88615973596749,473.151941829058,5.07e-05
"Tb11.01.6250","expression site-associated gene 11 (ESAG11) protein, putative",7.48014282924833,3.89619627904404,"Up in MF",-7.48014282924833,178.544864661374,0.000127
"Tb11.02.5105","Present in the outer mitochondrial membrane proteome 15",-0.192033498949885,0.494850021680094,"Not Significant",0.192033498949885,0.875371003603857,0.32
"Tb11.02.5360","hypothetical protein, conserved",-0.276183544809389,2.34008379993015,"Not Significant",0.276183544809389,0.825772600516647,0.00457
"Tb11.02.5370","hypothetical protein, conserved",-0.0423947988753015,0.0381045263321496,"Not Significant",0.0423947988753015,0.971041729990646,0.916
"Tb11.02.5380","exosome complex exonuclease RRP44p homologue",-0.403499860568608,2.78251605578609,"Not Significant",0.403499860568608,0.756022009062779,0.00165
"Tb11.02.5390","mRNA processing protein, putative",-0.552397426448604,3.70114692359029,"Not Significant",0.552397426448604,0.681886048989761,0.000199
"Tb11.02.5400","cystathionine beta-synthase, putative",-1.59791693421471,2.96257350205938,"Down in MF",1.59791693421471,0.330353621576314,0.00109
"Tb11.02.5410","ubiquitin activating enzyme (E1) subunit Aos1, putative",0.0905681195307473,0.235077015350112,"Not Significant",-0.0905681195307473,1.06478940380476,0.582
"Tb11.02.5420","NADPH-cytochrome p450 reductase, putative",0.251667766847585,1.86327943284359,"Not Significant",-0.251667766847585,1.19058264271567,0.0137
"Tb11.02.5430","hypothetical protein, conserved",-0.107383546061315,0.630784142589857,"Not Significant",0.107383546061315,0.92827003531732,0.234
"Tb11.02.5440","hypothetical protein, conserved",0.414011440090636,1.97881070093006,"Not Significant",-0.414011440090636,1.33238539042202,0.0105
"Tb11.1451","variant surface glycoprotein (VSG), putative",1.7502058229664,1.13906337929991,"Not Significant",-1.7502058229664,3.36406556324309,0.0726
"Tb927.1.05","variant surface glycoprotein (VSG), putative",1.24251360047257,0.906578314837765,"Not Significant",-1.24251360047257,2.36610418536257,0.124
"Tb927.1.10","hypothetical protein",0,0,"Not Significant",0,1,1
"Tb927.1.1000","developmentally regulated phosphoprotein",-0.838817894848059,2.53165266958784,"Not Significant",0.838817894848059,0.559101493991208,0.00294
"Tb927.1.1010","E3 ubiquitin-protein ligase KCMF1, putative",0.553105512282755,3.0096611452124,"Not Significant",-0.553105512282755,1.46724064768242,0.000978
"Tb927.1.1020","leucine-rich repeat-containing protein",0.31693096634603,2.25026368443094,"Not Significant",-0.31693096634603,1.24567780785907,0.00562
"Tb927.1.1030","leucine-rich repeat protein (LRRP), putative",0.403729161782953,2.77989191195995,"Not Significant",-0.403729161782953,1.32292306326061,0.00166
"Tb927.1.1050","Metallo-dependent phosphatase-like domain-containing protein",-0.6362698493603,4.14752000636314,"Not Significant",0.6362698493603,0.643374272246668,7.12e-05
"Tb927.1.1060","Cell cycle checkpoint protein RAD1-like, putative",0.145273826576771,0.462180904926726,"Not Significant",-0.145273826576771,1.10594054326018,0.345
"Tb927.1.1080","TFIIH basal transcription factor subunit, putative",0.463475320354919,2.3829996588791,"Not Significant",-0.463475320354919,1.37885936675648,0.00414
"Tb927.1.1090","hypothetical protein, conserved",1.52561931405429,3.80134291304558,"Up in MF",-1.52561931405429,2.87910282392336,0.000158
"Tb927.1.110","hypothetical protein, conserved",0.00252177390399841,0,"Not Significant",-0.00252177390399841,1.00174948904497,1
"Tb927.1.1100","Basal body protein",0.427207953799632,2.73518217699046,"Not Significant",-0.427207953799632,1.34462879846203,0.00184
"Tb927.1.1120","ribosomal RNA-processing protein 8, putative",0.0260150584367968,0.0181813928293364,"Not Significant",-0.0260150584367968,1.01819582734499,0.959
"Tb927.1.1130","glycerol-3-phosphate dehydrogenase (FAD-dependent), putative",-0.0909435191306991,0.619788758288394,"Not Significant",0.0909435191306991,0.938908504446362,0.24
"Tb927.1.1140","Transmembrane protein 231, putative",-0.451931788489283,2.2572748686953,"Not Significant",0.451931788489283,0.73106328850576,0.00553
"Tb927.1.1150","zeta tubulin",0.248496936210381,1.4145392704915,"Not Significant",-0.248496936210381,1.18796879137854,0.0385
"Tb927.1.1160","kinetoplast ribosomal PPR-repeat containing protein 3",0.114498191403482,0.363512103646635,"Not Significant",-0.114498191403482,1.08259842283677,0.433
"Tb927.1.1170","DNA-directed RNA polymerase 2, RPB12 subunit",-0.122595601952158,0.335358024443874,"Not Significant",0.122595601952158,0.918533597952738,0.462
"Tb927.1.120","retrotransposon hot spot protein 4 (RHS4), putative",-0.24379039258857,0.385102783966865,"Not Significant",0.24379039258857,0.84452357831642,0.412
"Tb927.1.1200","SSU ribosomal protein, mitochondrial",-0.760866508738917,2.99567862621736,"Not Significant",0.760866508738917,0.590141774423986,0.00101
"Tb927.1.1210","conserved protein, unknown function",-0.377159953368486,1.31069114087638,"Not Significant",0.377159953368486,0.769951804002839,0.0489
