"Gene ID","Description","Log2 FC MF/PF","-Log10(P-Value)","significance","Log2 FC PF/MF","Ratio H/L normalized Significance B","FC MF/PF","Significant","Annotation","Coordinates"
"Tb927.7.6860","expression site-associated gene (ESAG) protein, putative",6.251319,15.1549019599857,"Up in MF",-6.251319,7e-16,76.1788709126191,"+","Tb927.7.6860 is included in the African trypanosome cell surface phylome and is a member of Fam52 (19 members)","1929788:1931230 Forward"
"VSG_1954_ORF","metacyclic VSG",6.211004,11.7986028756795,"Up in MF",-6.211004,1.59e-12,74.0795792792892,"+",NA,NA
"VSG_653_ORF","metacyclic VSG",6.11879,11.4867823999321,"Up in MF",-6.11879,3.26e-12,69.4927226445841,"+",NA,NA
"Tb927.10.530","hypothetical protein, conserved",5.869101,14.33254704711,"Up in MF",-5.869101,4.65e-15,58.4487797318338,"+","iprscan;InterPro:IPR007603 :Protein of unknown function DUF580;Pfam:PF04515;;score=2.5E-14;query 300-677;description=Protein of unknown function DUF580","136380:138446 Forward"
"VSG_397_ORF","metacyclic VSG;>Tb927.8.350",5.836419,10.5590909179348,"Up in MF",-5.836419,2.76e-11,57.1395987422653,"+","variant surface glycoprotein (VSG, pseudogene), putative","Tb927.8.350 is included in the African trypanosome cell surface phylome and is a member of Fam0b (380 members) | 94593:96173 Forward;REV__>Tb927.1.1720 | hypothetical protein, conserved | InterPro:IPR002130 :Peptidyl-prolyl cis-trans isomerase, cyclophilin-type;Prosite:PS50072;;query 56-247;description=Peptidyl-prolyl cis-trans isomerase, cyclophilin-type | 436940:438166 Forward"
"Tb927.5.630","acidic phosphatase, putative",5.44895,11.5512936800949,"Up in MF",-5.44895,2.81e-12,43.6814850611807,"+","Tb927.5.630 is included in the African trypanosome cell surface phylome and is a member of Fam49 (79 members)","266270:267475 Reverse"
"Tb927.10.7090","alternative oxidase",5.083435,8.2839966563652,"Up in MF",-5.083435,5.2e-09,33.9052082340944,"+","mitochondrial localisation predicted by MitoCarta (PMID:20660476)","1783506:1784495 Forward"
"Tb927.11.7680","hypothetical protein, conserved",5.035757,8.96257350205938,"Up in MF",-5.035757,1.09e-09,32.8030259771258,"+","none","2174807:2176558 Reverse"
"Tb927.9.9400","ceramide phosphorylethanolamine synthase",4.992219,7.50584540598156,"Up in MF",-4.992219,3.12e-08,31.8278764780793,"+","PANTHER:PTHR21290;;query 2-319;description=null","1502412:1503383 Reverse"
"VSG_531_ORF","metacyclic VSG;>Tb927.4.5640",4.927392,7.84771165561694,"Up in MF",-4.927392,1.42e-08,30.429358189525,"+","variant surface glycoprotein (VSG, pseudogene), putative","Tb927.4.5640 is included in the African trypanosome cell surface phylome and is a member of Fam0b (380 members) | 1541469:1543073 Reverse;>Tb927.5.4950 | variant surface glycoprotein (VSG, atypical), putative | Tb927.5.4950 is included in the African trypanosome cell surface phylome and is a member of Fam0b (380 members) | 1550034:1551635 Reverse;>Tb927.3.280 | variant surface glycoprotein (VSG, pseudogene), putative | Tb927.3.280 is included in the African trypanosome cell surface phylome and is a member of Fam0a (459 members) | 49532:51098 Forward;>Tb927.9.460 | variant surface glycoprotein (VSG, pseudogene), putative | Tb927.9.460 is included in the African trypanosome cell surface phylome and is a member of Fam0b (380 members) | 111766:113223 Forward;>Tb927.5.5310 | variant surface glycoprotein (VSG, pseudogene), putative | Tb927.5.5310 is included in the African trypanosome cell surface phylome and is a member of Fam0b (380 members) | 1647734:1649178 Reverse;>Tb927.11.100 | variant surface glycoprotein (VSG), putative | Tb927.11.100 is included in the African trypanosome cell surface phylome and is a member of Fam0a (459 members) | 2911:4347 Reverse;>Tb927.5.5610 | Variant Surface Glycoprotein, putative | missing_note_qualifer | 1771888:1773329 Forward;>Tb927.5.5690 | Variant Surface Glycoprotein, putative | missing_note_qualifer | 1799703:1801143 Forward;>Tb927.9.16570 | variant surface glycoprotein (VSG, pseudogene), putative | Tb927.9.16570 is included in the African trypanosome cell surface phylome and is a member of Fam0b (380 members) | 2698879:2700284 Reverse;>Tb927.9.17490 | variant surface glycoprotein (VSG, pseudogene), putative | Tb927.9.17490 is included in the African trypanosome cell surface phylome and is a member of Fam0b (380 members) | 2943197:2944165 Reverse"
"VSG_639_ORF","metacyclic VSG;>Tb927.8.330",4.749756,7.36653154442041,"Up in MF",-4.749756,4.3e-08,26.9041346631896,"+","variant surface glycoprotein (VSG, pseudogene), putative","Tb927.8.330 is included in the African trypanosome cell surface phylome and is a member of Fam0a (459 members) | 87463:88974 Forward;>Tb927.3.320 | variant surface glycoprotein (VSG, pseudogene), putative | Tb927.3.320 is included in the African trypanosome cell surface phylome and is a member of Fam0a (459 members) | 58910:60421 Forward"
"Tb927.5.309b","hypothetical protein",4.652647,8.66958622665081,"Up in MF",-4.652647,2.14e-09,25.1527981848215,"+","shares 89% identity with allelic copy (TB927.5.310a)","133270:134451 Reverse"
"Tb927.5.310","hypothetical protein",4.6339,9.1511952989482,"Up in MF",-4.6339,7.06e-10,24.8280663267331,"+","Tb927.5.310 is included in the African trypanosome cell surface phylome and is a member of Fam49 (79 members)","76126:77349 Reverse"
"Tb927.8.7650","amino acid transporter, putative",4.604718,9.24336389175415,"Up in MF",-4.604718,5.71e-10,24.3309036859779,"+","Tb927.8.7650 is included in the African trypanosome cell surface phylome and is a member of Fam54 (74 members)","2207555:2208955 Forward;>Tb927.8.7690 | amino acid transporter (pseudogene), putative | PANTHER:PTHR22950;;query 17-181;description=null | 2215280:2215837 Forward"
"Tb927.5.4580","hypothetical protein, conserved",4.500659,8.87614835903291,"Up in MF",-4.500659,1.33e-09,22.6377552008173,"+","Tb927.5.4580 is included in the African trypanosome cell surface phylome and is a member of Fam73 (7 members)","1420734:1423190 Forward"
"Tb927.7.5930","Protein Associated with Differentiation",4.49567,8.85698519974591,"Up in MF",-4.49567,1.39e-09,22.5596065254039,"+","Number of repeated genes in array uncertain, region may contain misassembly.","1590223:1592013 Forward"
"Tb927.3.600","hypothetical protein",4.33372,6.87614835903291,"Up in MF",-4.33372,1.33e-07,20.1641404047571,"+","Tb927.3.600 is included in the African trypanosome cell surface phylome and is a member of Fam5 (8 members)","152524:153222 Reverse"
"Tb927.5.1990","hypothetical protein, conserved",4.331685,8.29413628771608,"Up in MF",-4.331685,5.08e-09,20.1357178360236,"+","tmhmm;;query 1-334;| 672896:673900 Forward",NA
"Tb927.10.14890","C-terminal motor kinesin, putative",4.329827,6.29073003902417,"Up in MF",-4.329827,5.12e-07,20.1098023916198,"+","iprscan;InterPro:IPR001752 :Kinesin, motor region;PRINTS:PR00380;;score=6.9E-40;query 561-582;description=Kinesin, motor region","3633146:3635608 Forward;REV__CON__Q497I4"
"Tb927.4.5310","serine/threonine-protein kinase a, putative",4.141245,7.51570016065321,"Up in MF",-4.141245,3.05e-08,17.6457029666419,"+","pers. comm. M. Parsons, P. Ward, J. Mottram","1441877:1443199 Reverse;>Tb927.8.7110 | serine/threonine-protein kinase a, putative | pers. comm. M. Parsons, P. Ward, J. Mottram | 2048672:2049994 Forward"
"Tb927.11.7640","Gp63-1 surface protease homolog, putative",4.098061,6.23807216157947,"Up in MF",-4.098061,5.78e-07,17.1253432529051,"+","none","2164825:2166717 Reverse;>Tb927.11.7620 | MSP-A, putative | Tb927.11.7620 is included in the African trypanosome cell surface phylome and is a member of Fam46 (31 members) | 2156665:2158512 Reverse"
"Tb927.3.3870","lipase domain protein, putative",4.092119,7.50445566245355,"Up in MF",-4.092119,3.13e-08,17.0549544887109,"+","Tb927.3.3870 is included in the African trypanosome cell surface phylome and is a member of Fam63 (14 members)","1076071:1079769 Forward"
"Tb927.8.6010","hypothetical predicted multi-pass transmembrane protein",4.090029,6.88941028970075,"Up in MF",-4.090029,1.29e-07,17.030265245743,"+","tmhmm;;query 1-166;| 1758758:1759258 Forward",NA
"Tb927.1.2160","calpain-like protein fragment, putative",4.072204,7.30016227413275,"Up in MF",-4.072204,5.01e-08,16.8211449211977,"+","InterPro:IPR015232 :Region of unknown function DUF1935;Superfamily:SSF101601;;query 8-129;description=Region of unknown function DUF1935","548865:549257 Forward"
"Tb927.6.1310","hypothetical protein, conserved",4.064748,5.30189945437661,"Up in MF",-4.064748,4.99e-06,16.7344357257867,"+","A. Savage, SG specific","487653:488708 Reverse"
"Tb927.7.6580","hypothetical protein",4.05911,5.28903688100472,"Up in MF",-4.05911,5.14e-06,16.6691657760584,"+","Tb927.7.6580 is included in the African trypanosome cell surface phylome and is a member of Fam10 (14 members)","1796133:1799363 Reverse"
"Tb927.5.1410","64 kDa invariant surface glycoprotein",4.057788,6.97061622231479,"Up in MF",-4.057788,1.07e-07,16.6538981393906,"+","Tb927.5.1410 is included in the African trypanosome cell surface phylome and is a member of Fam49 (79 members)","508589:509896 Reverse;>Tb927.5.1390 | 64 kDa invariant surface glycoprotein | Tb927.5.1390 is included in the African trypanosome cell surface phylome and is a member of Fam49 (79 members) | 505659:506963 Reverse;>Tb927.5.1430 | 64 kDa invariant surface glycoprotein | Tb927.5.1430 is included in the African trypanosome cell surface phylome and is a member of Fam49 (79 members) | 511528:512832 Reverse"
"Tb927.5.360","75 kDa invariant surface glycoprotein",4.037106,6.73282827159699,"Up in MF",-4.037106,1.85e-07,16.4168564866487,"+","Tb927.5.360 is included in the African trypanosome cell surface phylome and is a member of Fam49 (79 members)","163729:165300 Reverse;>Tb927.5.350 | 75 kDa invariant surface glycoprotein, putative | Tb927.5.350 is included in the African trypanosome cell surface phylome and is a member of Fam49 (79 members) | 161570:163138 Reverse;>Tb927.5.400 | 75 kDa invariant surface glycoprotein, putative | Similar to (92.1%) GP:790933: invariant surface glycoprotein {Trypanosoma brucei} (PMID:7723788) | 180678:182246 Forward"
"Tb927.8.2780","RNA-binding protein RBP10, putative",3.981058,7.65364702554936,"Up in MF",-3.981058,2.22e-08,15.7912995717093,"+","TbRBP10: pers. comm. C. Clayton, University of Heidelberg","828598:829518 Forward"
"Tb927.10.5250","zinc finger protein family member, putative",3.964072,5.08618614761628,"Up in MF",-3.964072,8.2e-06,15.6064662306281,"+","iprscan;InterPro:IPR000571 :Zinc finger, CCCH-type;Pfam:PF00642;;score=0.086;query 141-166;description=Zinc finger, CCCH-type","1305467:1307434 Forward"
"Tb927.7.2650","hypothetical protein, conserved",3.908767,6.36051351073141,"Up in MF",-3.908767,4.36e-07,15.0195220588844,"+","missing_note_qualifer","680735:682348 Reverse"
"Tb927.10.12820","hypothetical protein, conserved",3.894815,6.32057210338788,"Up in MF",-3.894815,4.78e-07,14.874971508763,"+","missing_note_qualifer","3114222:3117263 Reverse"
"Tb927.11.7550","hypothetical protein, conserved",3.859583,6.65560772631489,"Up in MF",-3.859583,2.21e-07,14.5161101077073,"+","tmhmm;;query 1-221;| 2136421:2137086 Reverse",NA
"Tb927.6.1460","cyclin 3",3.848339,6.35654732351381,"Up in MF",-3.848339,4.4e-07,14.4034149488019,"+","InterPro:IPR006670 :Cyclin;SMART:SM00385;;query 72-160;description=Cyclin","514514:515758 Reverse"
"Tb927.3.5660","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",3.842801,4.83268266525182,"Up in MF",-3.842801,1.47e-05,14.3482312763132,"+","curated by Mike Ferguson;| 1580707:1581873 Forward",NA
"Tb927.3.4720","dynamin, putative",3.832241,6.1438755557577,"Up in MF",-3.832241,7.18e-07,14.243590903391,"+","InterPro:IPR000375 :Dynamin central region;Pfam:PF01031;;query 214-487;description=Dynamin central region","1334486:1336468 Reverse"
"Tb927.8.7720","hypothetical protein, conserved",3.741725,6.31247103878537,"Up in MF",-3.741725,4.87e-07,13.3773922176136,"+","Tb927.8.7720 is included in the African trypanosome cell surface phylome and is a member of Fam70 (8 members)","2222999:2223676 Forward"
"Tb927.5.291b","variant surface glycoprotein (VSG)-related, putative",3.719376,6.35753547975788,"Up in MF",-3.719376,4.39e-07,13.1717579447033,"+","resequenced from BAC 26D11","105030:106031 Forward"
"Tb927.7.470","hypothetical protein",3.715713,6.23732143627256,"Up in MF",-3.715713,5.79e-07,13.1383572960483,"+","tmhmm;;query 1-297;| 85331:86224 Reverse",NA
